delta_index,pair_index,delta,alpha,beta,eta,peak_number,xM_peak,FWHM,Q,WT_peak,origin,D0_confirmed,xM_D0,above_qmin,thin_width
0,0,0.01,0.001,0.027777777777777776,-0.9305019305019304,1,0.05495408738576248,0.0030731079915569115,17.882250652025217,17960.894701093293,malha_global,False,,,
0,1,0.01,0.001888888888888889,0.7222222222222222,-0.9947828755562373,1,0.07550922276654341,0.005715498930750254,13.211309053054372,7006.014143513668,malha_global,False,,,
0,2,0.01,0.002777777777777778,54.44444444444444,-0.9998979643895719,1,0.07379042301291007,0.0035842808971769252,20.587232175644875,7457.524123783813,malha_global,False,,,
0,4,0.01,0.0054444444444444445,45.55555555555556,-0.9997610041726721,1,0.1066044029352902,0.007890237636484443,13.510924239132121,2497.920794877166,malha_global,False,,,
0,6,0.01,0.00811111111111111,90.0,-0.999819769329431,1,0.11380920613742496,0.006897528726471744,16.49999741220957,2051.4151566459736,malha_global,False,,,
0,8,0.01,0.01888888888888889,722.2222222222222,-0.9999476936757038,1,0.08356030182312484,0.0009630647320235247,86.76498997897446,4844.679510020928,malha_global,True,0.08345007508946226,,
0,13,0.01,0.18888888888888888,633.3333333333333,-0.9994036866197801,1,0.2801200800533689,0.010153795713532587,27.587720686564108,148.19688895675827,malha_global,True,0.28015122611197524,,
0,20,0.01,0.001,0.009,-0.8000000000000002,1,0.05495408738576248,0.003056448730711911,17.979718368435556,17977.436189891094,malha_global,False,,,
0,21,0.01,0.003666666666666667,0.05444444444444445,-0.8738049713193117,1,0.10540360240160107,0.011209319251890101,9.403211741322119,2568.2753340124564,malha_global,False,,,
0,40,0.01,0.001,0.006333333333333334,-0.7272727272727273,1,0.05495408738576248,0.003049090247970093,18.02310949055959,17966.786047406702,malha_global,False,,,
0,60,0.01,0.001,0.004555555555555556,-0.64,1,0.05495408738576248,0.003056503683967496,17.979395108868086,17922.274123511237,malha_global,False,,,
0,61,0.01,0.001888888888888889,0.01,-0.6822429906542055,1,0.07550922276654341,0.00576148040649159,13.105871657823478,6925.574287464739,malha_global,False,,,
0,80,0.01,0.001,0.003666666666666667,-0.5714285714285715,1,0.05495408738576248,0.003065684151832393,17.92555418760795,17855.72909127267,malha_global,False,,,
0,81,0.01,0.001888888888888889,0.007222222222222223,-0.5853658536585367,1,0.07550922276654341,0.0057562890722384075,13.117691244991745,6914.177074950174,malha_global,False,,,
0,100,0.01,0.001,0.002777777777777778,-0.47058823529411764,1,0.05470159628939716,0.0030431341170816598,17.975414222576404,17944.17106448391,malha_global,False,,,
0,101,0.01,0.001888888888888889,0.0054444444444444445,-0.48484848484848486,1,0.07516228940182053,0.005745271205265509,13.082461509029322,6912.093388088488,malha_global,False,,,
0,102,0.01,0.003666666666666667,0.009,-0.4210526315789473,1,0.10480320213475651,0.011104588286362058,9.437828709369539,2565.574994799434,malha_global,False,,,
0,120,0.01,0.001,0.001888888888888889,-0.3076923076923077,1,0.05470159628939716,0.003029057008180583,18.05895238738142,17961.524719991994,malha_global,False,,,
0,121,0.01,0.002777777777777778,0.006333333333333334,-0.39024390243902446,1,0.09120108393559097,0.008406098505430934,10.849395100077476,3890.0054043582936,malha_global,False,,,
0,140,0.01,0.002777777777777778,0.004555555555555556,-0.2424242424242424,1,0.09078205301781861,0.008383003753337864,10.829298863390331,3892.4816520367244,malha_global,False,,,
0,160,0.01,0.001888888888888889,0.002777777777777778,-0.19047619047619047,1,0.07481695005111545,0.005685558940331778,13.159119593393847,6953.800405531066,malha_global,False,,,
0,161,0.01,0.003666666666666667,0.0054444444444444445,-0.19512195121951215,1,0.10420280186791195,0.011038732252040565,9.439743576410194,2572.43315132418,malha_global,False,,,
0,180,0.01,0.001,0.001,0.0,1,0.05420008904016239,0.0029827934230057043,18.170916102378282,18253.354189320075,malha_global,False,,,
0,220,0.01,0.002777777777777778,0.001888888888888889,0.19047619047619047,1,0.08994975815300356,0.008159913812785982,11.023371106206898,4054.573589046625,malha_global,False,,,
0,260,0.01,0.001888888888888889,0.001,0.3076923076923077,1,0.0734513868157115,0.0055017505541747475,13.350548355918525,7449.252668353998,malha_global,False,,,
0,280,0.01,0.002777777777777778,0.001,0.47058823529411764,1,0.08830799004185631,0.007868284378350673,11.223283983587686,4605.610508245416,malha_global,False,,,
0,300,0.01,0.003666666666666667,0.001,0.5714285714285715,1,0.1,0.010121359285256176,9.880095862783016,3425.4692377592546,malha_global,False,,,
1,0,0.05,0.001,0.027777777777777776,-0.9305019305019304,1,0.05597576014951104,0.0032928226376240793,16.999324382044485,16967.534489619648,malha_global,False,,,
1,1,0.05,0.001888888888888889,0.7222222222222222,-0.9947828755562373,1,0.07585775750291836,0.005835110000331836,13.000227501898749,6901.337108433834,malha_global,False,,,
1,2,0.05,0.002777777777777778,54.44444444444444,-0.9998979643895719,1,0.0485288500162121,0.0007021584718384863,69.11381399293994,26089.077352860186,malha_global,True,0.04849973229807638,,
1,4,0.05,0.0054444444444444445,45.55555555555556,-0.9997610041726721,1,0.07244359600749899,0.0017123580250015397,42.30633719688022,7900.450562472381,malha_global,True,0.07239422748816549,,
1,6,0.05,0.00811111111111111,90.0,-0.999819769329431,1,0.06823386941416697,0.0009460864140220515,72.12223788743314,9348.804079843685,malha_global,True,0.06818131443629918,,
1,8,0.05,0.01888888888888889,722.2222222222222,-0.9999476936757038,1,0.03999447497610974,0.00020271032041200426,197.29866192713743,9295.709819513817,malha_global,True,0.04003994429896845,,
